domain,outlet,bias_outlet,credibility,source
onenewsnow.com,,right,mixed,mbfc
opednews.com,,left,mixed,mbfc
opendemocracy.net,,left,high,mbfc
opensecrets.org,,center,high,mbfc
opposingviews.com,,left,high,mbfc
oppositionreport.com,,,low,mbfc
opslens.com,,right,mixed,mbfc
oregonlive.com,,right,high,mbfc
orlandosentinel.com,,right,high,mbfc
other98.com,,left,mixed,mbfc
outabouter.com,,center,low,mbfc
ozy.com,,left,high,mbfc
pacificpundit.com,,,low,mbfc
pacificresearch.org,,right,high,mbfc
pantagraph.com,,center,high,mbfc
pastemagazine.com,,left,high,mbfc
patheos.com,,center,mixed,mbfc
patribotics.blog,,right,low,mbfc
patriotfires.com,,,low,mbfc
patrioticviralnews.com,,,low,mbfc
patriotpost.us,,right,mixed,mbfc
patriotupdate.com,,,low,mbfc
peacock-panache.com,,left,high,mbfc
peninsuladailynews.com,,right,high,mbfc
pennlive.com,,left,high,mbfc
people.com,,left,high,mbfc
personalliberty.com,,,low,mbfc
pewresearch.org,,center,high,mbfc
pgpf.org,,center,high,mbfc
phnompenhpost.com,,center,high,mbfc
phoenixnewtimes.com,,left,high,mbfc
photographyisnotacrime.com,,left,high,mbfc
pilotonline.com,,left,high,mbfc
pjmedia.com,,right,mixed,mbfc
placesjournal.org,,center,high,mbfc
pluralist.com,,left,high,mbfc
plymouthpatriotpost.com,,,low,mbfc
pmnightlynews.com,,,low,mbfc
pnas.org,,center,high,mbfc
pogo.org,,center,high,mbfc
policyed.org,,right,high,mbfc
politicalcritique.org,,left,high,mbfc
politicaldig.com,,left,mixed,mbfc
politicalgarbagechute.com,,center,low,mbfc
politicalmayhem.news,,,low,mbfc
politicalsitenews.com,,,low,mbfc
politichicks.com,,right,mixed,mbfc
politico.com,,left,high,mbfc
politicops.com,,center,low,mbfc
politicslive.net,,,low,mbfc
politifact.com,,center,high,mbfc
politifeed.net,,right,mixed,mbfc
polygraph.info,,center,high,mbfc
popularmechanics.com,,center,high,mbfc
popularresistance.org,,left,mixed,mbfc
postbulletin.com,,right,high,mbfc
poststar.com,,center,high,mbfc
poynter.org,,center,high,mbfc
pravdareport.com,,left,mixed,mbfc
presstv.com,,left,mixed,mbfc
pri.org,,left,high,mbfc
progressive.org,,left,high,mbfc
progressivearmy.com,,left,high,mbfc
progressiveliberal.net,,left,mixed,mbfc
progressivestoday.com,,,low,mbfc
progresstribune.com,,,low,mbfc
projectcensored.org,,left,high,mbfc
projectveritas.com,,right,mixed,mbfc
propublica.org,,left,high,mbfc
prospect.org,,left,high,mbfc
prospectmagazine.co.uk,,left,high,mbfc
proudemocrat.com,,left,mixed,mbfc
providencejournal.com,,left,high,mbfc
psychologytoday.com,,center,high,mbfc
psypost.org,,center,high,mbfc
puppetstringnews.com,,,low,mbfc
qpolitical.com,,,low,mbfc
quadrant.org.au,,right,mixed,mbfc
quantamagazine.org,,center,high,mbfc
rantt.com,,left,high,mbfc
rapidcityjournal.com,,center,high,mbfc
rappler.com,,left,mixed,mbfc
rawstory.com,,left,mixed,mbfc
readersupportednews.org,,left,mixed,mbfc
readingthepictures.org,,left,high,mbfc
reagancoalition.com,,,low,mbfc
realclearpolitics.com,,right,high,mbfc
realnewsrightnow.com,,center,low,mbfc
realtimepolitics.com,,,low,mbfc
recode.net,,center,high,mbfc
redalertpolitics.com,,right,mixed,mbfc
redice.tv,,,low,mbfc
redstate.com,,right,mixed,mbfc
reductress.com,,center,low,mbfc
religionnews.com,,left,high,mbfc
remnantnewspaper.com,,,low,mbfc
renewamerica.com,,,low,mbfc
renewedright.com,,right,mixed,mbfc
rep-am.com,,right,high,mbfc
republicanssucks.org,,left,mixed,mbfc
republicworld.com,,left,mixed,mbfc
researchantisemitism.ca,,,low,mbfc
resistancereport.com,,,low,mbfc
resourcegovernance.org,,left,high,mbfc
restoreamericanglory.com,,right,high,mbfc
retractionwatch.com,,center,high,mbfc
reverbpress.com,,left,mixed,mbfc
reviewjournal.com,,right,high,mbfc
rewire.news,,left,high,mbfc
rfa.org,,left,high,mbfc
richmond.com,,right,high,mbfc
ricochet.com,,right,mixed,mbfc
rightalerts.com,,,low,mbfc
rightwingnews.com,,,low,mbfc
rinf.com,,,low,mbfc
roanoke.com,,left,high,mbfc
